teste,hardware,tamanho,batch,repeticoes,tempo_medio_ms,tempo_mediana_ms,tempo_desvio_ms,tempo_min_ms,tempo_max_ms,tempo_p95_ms,throughput_itens_s,speedup_cuda_vs_cpu,memoria_inicio_mb,memoria_fim_mb,gpu_peak_mb,status,observacao,arquivo_origem,modelo,pretrained,categoria_tarefa,execucoes,tempo_total_ms_media,tempo_total_ms_p95,tokens_por_segundo_media,tokens_gerados_media,taxa_falha,ram_processo_mb_pico_medio,gpu_media_media,vram_mb_pico_medio
numpy_matmul_cpu,CPU,512,na,10.0,3.3803,2.725,1.5681,2.0939,7.2059,6.1116,,,519.69,519.75,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.,benchmark_numpy_cpu.csv,,,,,,,,,,,,
numpy_matmul_cpu,CPU,1024,na,10.0,10.1967,8.6011,2.6163,7.8425,14.2624,14.2365,,,531.66,531.68,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.,benchmark_numpy_cpu.csv,,,,,,,,,,,,
numpy_matmul_cpu,CPU,1536,na,10.0,41.4351,38.8222,8.911,31.7809,57.6615,54.3527,,,547.43,547.43,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.,benchmark_numpy_cpu.csv,,,,,,,,,,,,
numpy_matmul_cpu,CPU,2048,na,10.0,86.4215,79.8843,14.1149,70.8477,106.9844,106.6965,,,569.18,569.18,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.,benchmark_numpy_cpu.csv,,,,,,,,,,,,
torch_matmul,CPU,512,na,10.0,1.2198,1.1398,0.2305,1.0807,1.8288,1.6263,,,524.43,525.81,0.0,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CPU,1024,na,10.0,13.3148,13.1122,1.8228,10.6768,16.3009,15.757,,,535.96,539.96,0.0,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CPU,1536,na,10.0,29.6481,29.2439,1.472,27.7518,31.819,31.6909,,,554.79,563.85,0.0,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CPU,2048,na,10.0,80.2049,76.5032,12.5486,68.0382,101.7836,101.414,,,588.86,604.88,0.0,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CPU,mlp_1024_2048x2_512,1,10.0,1.1033,1.0875,0.0793,0.9795,1.2536,1.225,906.3718,,605.54,605.55,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CPU,mlp_1024_2048x2_512,8,10.0,2.5642,2.5333,0.131,2.4064,2.78,2.7441,3119.8814,,605.73,605.73,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CPU,mlp_1024_2048x2_512,16,10.0,3.2576,3.2284,0.2456,2.7039,3.5954,3.5564,4911.5914,,604.26,604.26,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CPU,mlp_1024_2048x2_512,32,10.0,3.0056,2.8672,0.254,2.7684,3.4522,3.4044,10646.7927,,604.31,604.31,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CUDA,512,na,10.0,0.2405,0.195,0.0843,0.1773,0.4364,0.3781,,5.0719,812.39,812.69,12.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CUDA,1024,na,10.0,1.0651,1.0844,0.0788,0.9311,1.1797,1.1572,,12.501,812.76,812.78,24.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CUDA,1536,na,10.0,2.9343,2.7277,0.643,2.6153,4.7451,3.9209,,10.104,812.8,812.8,44.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CUDA,2048,na,10.0,6.966,7.0918,0.4219,6.3984,7.7212,7.5199,,11.5138,812.8,812.8,72.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
