tempo_relativo_s,modelo,categoria_tarefa,repeticao,cpu_percent,ram_process_mb,ram_system_used_mb,gpu_percent,vram_used_mb,gpu_temperature_c,gpu_power_w
0.1,gemma3:1b,explicacao_conceitual_curta,1,0.0,523.5,18496.96,31.0,619.0,61.0,14.98
1.1753,gemma3:1b,explicacao_conceitual_curta,1,40.9,524.46,18506.08,0.0,619.0,60.0,10.47
2.2601,gemma3:1b,explicacao_conceitual_curta,1,32.1,524.73,18508.17,0.0,619.0,60.0,9.79
3.366,gemma3:1b,explicacao_conceitual_curta,1,28.9,524.86,18479.52,0.0,619.0,60.0,9.76
4.4456,gemma3:1b,explicacao_conceitual_curta,1,71.5,524.88,18476.17,34.0,619.0,61.0,11.54
0.0853,gemma3:1b,explicacao_conceitual_curta,2,0.0,524.88,18503.31,29.0,619.0,61.0,13.95
1.1817,gemma3:1b,explicacao_conceitual_curta,2,37.7,524.89,18480.28,0.0,619.0,60.0,11.37
2.2743,gemma3:1b,explicacao_conceitual_curta,2,25.7,524.89,18493.63,0.0,619.0,60.0,9.79
3.4217,gemma3:1b,explicacao_conceitual_curta,2,39.7,524.89,18514.19,0.0,619.0,60.0,9.8
4.5086,gemma3:1b,explicacao_conceitual_curta,2,81.6,524.89,18527.61,29.0,619.0,61.0,11.73
0.086,gemma3:1b,explicacao_conceitual_curta,3,0.0,524.88,18555.33,31.0,619.0,62.0,13.98
1.175,gemma3:1b,explicacao_conceitual_curta,3,29.1,524.9,18515.37,0.0,619.0,61.0,11.2
2.2595,gemma3:1b,explicacao_conceitual_curta,3,24.1,524.9,18526.61,0.0,619.0,61.0,9.8
3.3181,gemma3:1b,explicacao_conceitual_curta,3,35.1,524.9,18536.36,0.0,619.0,61.0,9.81
4.4146,gemma3:1b,explicacao_conceitual_curta,3,61.9,524.91,18532.42,31.0,619.0,61.0,11.69
5.4905,gemma3:1b,explicacao_conceitual_curta,3,72.7,524.91,18566.51,31.0,619.0,62.0,14.1
0.0821,gemma3:1b,explicacao_tecnica_media,1,0.0,524.89,18701.49,31.0,619.0,64.0,15.47
1.1784,gemma3:1b,explicacao_tecnica_media,1,25.2,524.91,18658.77,0.0,619.0,63.0,11.88
2.2551,gemma3:1b,explicacao_tecnica_media,1,18.9,524.91,18656.98,0.0,619.0,62.0,9.93
3.3435,gemma3:1b,explicacao_tecnica_media,1,28.0,524.91,18705.23,0.0,619.0,62.0,9.92
4.4387,gemma3:1b,explicacao_tecnica_media,1,44.3,524.91,18676.11,22.0,621.0,64.0,13.97
5.5221,gemma3:1b,explicacao_tecnica_media,1,68.6,524.91,18687.41,26.0,621.0,65.0,21.41
6.6258,gemma3:1b,explicacao_tecnica_media,1,64.9,524.84,18685.22,31.0,621.0,65.0,19.49
