teste,modelo,pretrained,hardware,tamanho,batch,repeticoes,tempo_medio_ms,tempo_mediana_ms,tempo_desvio_ms,tempo_min_ms,tempo_max_ms,tempo_p95_ms,throughput_itens_s,speedup_cuda_vs_cpu,gpu_peak_mb,status,observacao
numpy_matmul_cpu,,,CPU,512,na,10.0,3.3803,2.725,1.5681,2.0939,7.2059,6.1116,,,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.
numpy_matmul_cpu,,,CPU,1024,na,10.0,10.1967,8.6011,2.6163,7.8425,14.2624,14.2365,,,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.
numpy_matmul_cpu,,,CPU,1536,na,10.0,41.4351,38.8222,8.911,31.7809,57.6615,54.3527,,,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.
numpy_matmul_cpu,,,CPU,2048,na,10.0,86.4215,79.8843,14.1149,70.8477,106.9844,106.6965,,,na,ok,Multiplicação de matrizes float32 em CPU com NumPy.
torch_matmul,,,CPU,512,na,10.0,1.2198,1.1398,0.2305,1.0807,1.8288,1.6263,,,0.0,ok,Multiplicação de matrizes float32 com PyTorch.
torch_matmul,,,CPU,1024,na,10.0,13.3148,13.1122,1.8228,10.6768,16.3009,15.757,,,0.0,ok,Multiplicação de matrizes float32 com PyTorch.
torch_matmul,,,CPU,1536,na,10.0,29.6481,29.2439,1.472,27.7518,31.819,31.6909,,,0.0,ok,Multiplicação de matrizes float32 com PyTorch.
torch_matmul,,,CPU,2048,na,10.0,80.2049,76.5032,12.5486,68.0382,101.7836,101.414,,,0.0,ok,Multiplicação de matrizes float32 com PyTorch.
torch_mlp_inference,,,CPU,mlp_1024_2048x2_512,1,10.0,1.1033,1.0875,0.0793,0.9795,1.2536,1.225,906.3718,,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
torch_mlp_inference,,,CPU,mlp_1024_2048x2_512,8,10.0,2.5642,2.5333,0.131,2.4064,2.78,2.7441,3119.8814,,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
torch_mlp_inference,,,CPU,mlp_1024_2048x2_512,16,10.0,3.2576,3.2284,0.2456,2.7039,3.5954,3.5564,4911.5914,,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
torch_mlp_inference,,,CPU,mlp_1024_2048x2_512,32,10.0,3.0056,2.8672,0.254,2.7684,3.4522,3.4044,10646.7927,,0.0,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
torch_matmul,,,CUDA,512,na,10.0,0.2405,0.195,0.0843,0.1773,0.4364,0.3781,,5.0719,12.12,ok,Multiplicação de matrizes float32 com PyTorch.
torch_matmul,,,CUDA,1024,na,10.0,1.0651,1.0844,0.0788,0.9311,1.1797,1.1572,,12.501,24.12,ok,Multiplicação de matrizes float32 com PyTorch.
torch_matmul,,,CUDA,1536,na,10.0,2.9343,2.7277,0.643,2.6153,4.7451,3.9209,,10.104,44.12,ok,Multiplicação de matrizes float32 com PyTorch.
torch_matmul,,,CUDA,2048,na,10.0,6.966,7.0918,0.4219,6.3984,7.7212,7.5199,,11.5138,72.12,ok,Multiplicação de matrizes float32 com PyTorch.
torch_mlp_inference,,,CUDA,mlp_1024_2048x2_512,1,10.0,0.5232,0.4655,0.1847,0.4427,1.0479,0.7966,1911.315,2.1088,36.16,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
torch_mlp_inference,,,CUDA,mlp_1024_2048x2_512,8,10.0,0.4996,0.4952,0.019,0.4691,0.545,0.529,16012.8102,5.1325,36.31,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
torch_mlp_inference,,,CUDA,mlp_1024_2048x2_512,16,10.0,0.6542,0.5817,0.2434,0.5555,1.3455,1.0109,24457.3525,4.9795,36.49,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
torch_mlp_inference,,,CUDA,mlp_1024_2048x2_512,32,10.0,0.7164,0.6991,0.0452,0.6778,0.8308,0.7939,44667.7834,4.1954,36.83,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia."
limite_matmul_cuda,,,CUDA,2560,na,10.0,13.9739,14.0624,0.2634,13.4602,14.2801,14.2431,,,112.12,ok,Teste de limite da GPU com multiplicacao de matrizes em CUDA.
limite_matmul_cuda,,,CUDA,3072,na,10.0,29.4723,29.1606,1.2233,28.5244,32.7944,31.3784,,,152.12,ok,Teste de limite da GPU com multiplicacao de matrizes em CUDA.
limite_matmul_cuda,,,CUDA,4096,na,10.0,71.5491,68.6553,6.3071,68.3329,87.8112,82.9833,,,264.12,ok,Teste de limite da GPU com multiplicacao de matrizes em CUDA.
torch_cnn_sintetico,,,CPU,3x224x224,1,10.0,7.8783,7.6876,1.3068,6.0415,10.076,10.0076,126.9309,,0.0,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia."
